Roll_No,Total_Enrolled,Total_Released,Total_Present,Total_Absent,Rows,Bad_Rows,Effective_Enrolled,Attendance_Percent,Proxy_Soft_Outlier,Proxy_Row_Score,Proxy_Row_Incidents,Proxy_Row_Reasons_Collected,Proxy_Risk_Score,Proxy_Reasons
418,483,0,457,26,1,0,483,94.61697722567288,FALSE,0,0,[],0,None
419,483,0,455,28,1,0,483,94.20289855072464,FALSE,0,0,[],0,None
420,483,0,439,44,1,0,483,90.89026915113871,FALSE,0,0,[],0,None
421,483,0,433,50,1,0,483,89.64803313,FALSE,0,0,[],0,None
422,483,0,452,31,1,0,483,93.58178053830228,FALSE,0,0,[],0,None
423,483,0,449,34,1,0,483,92.96066252587991,FALSE,0,0,[],0,None
424,485,0,447,38,1,0,485,92.16494845360825,FALSE,0,0,[],0,None
425,485,0,447,38,1,0,485,92.16494845360825,FALSE,0,0,[],0,None
426,485,0,423,62,1,0,485,87.21649484536083,FALSE,0,0,[],0,None
427,486,0,421,65,1,0,486,86.62551440329219,FALSE,0,0,[],0,None
428,486,0,443,43,1,0,486,91.15226337,FALSE,0,0,[],0,None
429,485,0,434,51,1,0,485,89.48453608247422,FALSE,0,0,[],0,None
430,483,0,452,31,1,0,483,93.58178053830228,FALSE,0,0,[],0,None
431,482,0,446,36,1,0,482,92.53112033,FALSE,0,0,[],0,None
432,482,0,457,25,1,0,482,94.81327800829875,FALSE,0,0,[],0,None
433,483,0,432,51,1,0,483,89.44099378881988,FALSE,0,0,[],0,None
434,484,0,431,53,1,0,484,89.04958678,FALSE,0,0,[],0,None
435,485,0,445,40,1,0,485,91.75257731958763,FALSE,0,0,[],0,None
436,485,0,453,32,1,0,485,93.40206186,FALSE,0,0,[],0,None
437,485,0,457,28,1,0,485,94.22680412371135,FALSE,0,0,[],0,None
438,485,0,449,36,1,0,485,92.57731958762886,FALSE,0,0,[],0,None
439,485,0,420,65,1,0,485,86.59793814,FALSE,0,0,[],0,None
440,485,0,425,60,1,0,485,87.62886597938144,FALSE,0,0,[],0,None
441,485,0,458,27,1,0,485,94.43298969072166,FALSE,0,0,[],0,None
442,485,0,437,48,1,0,485,90.10309278350516,FALSE,0,0,[],0,None
443,485,0,439,46,1,0,485,90.51546391752578,FALSE,0,0,[],0,None
444,485,0,453,32,1,0,485,93.40206186,FALSE,0,0,[],0,None
445,485,0,453,32,1,0,485,93.40206186,FALSE,0,0,[],0,None
446,484,0,446,38,1,0,484,92.14876033057851,FALSE,0,0,[],0,None
447,482,0,312,170,1,0,482,64.73029045643153,FALSE,0,0,[],0,None
448,482,0,428,54,1,0,482,88.79668049792531,FALSE,0,0,[],0,None
449,480,0,433,47,1,0,480,90.20833333333333,FALSE,0,0,[],0,None
450,480,0,452,28,1,0,480,94.16666666666667,FALSE,0,0,[],0,None
451,480,0,448,32,1,0,480,93.33333333333333,FALSE,0,0,[],0,None
452,482,0,443,39,1,0,482,91.90871369294605,FALSE,0,0,[],0,None
453,482,0,439,43,1,0,482,91.07883817427386,FALSE,0,0,[],0,None
454,481,0,410,71,1,0,481,85.23908523908524,FALSE,0,0,[],0,None
455,481,0,442,39,1,0,481,91.89189189189189,FALSE,0,0,[],0,None
456,481,0,458,23,1,0,481,95.21829521829522,FALSE,0,0,[],0,None
457,481,0,436,45,1,0,481,90.64449064449065,FALSE,0,0,[],0,None
458,481,0,445,36,1,0,481,92.51559251559252,FALSE,0,0,[],0,None
459,481,0,442,39,1,0,481,91.89189189189189,FALSE,0,0,[],0,None
460,480,0,451,29,1,0,480,93.95833333333333,FALSE,0,0,[],0,None
461,479,0,451,28,1,0,479,94.15448852,FALSE,0,0,[],0,None
462,479,0,426,53,1,0,479,88.93528183716076,FALSE,0,0,[],0,None
463,479,0,438,41,1,0,479,91.44050104384134,FALSE,0,0,[],0,None
464,479,0,445,34,1,0,479,92.90187891440502,FALSE,0,0,[],0,None
465,479,0,446,33,1,0,479,93.11064718,FALSE,0,0,[],0,None
466,479,0,443,36,1,0,479,92.48434237995825,FALSE,0,0,[],0,None
467,479,0,448,31,1,0,479,93.52818371607516,FALSE,0,0,[],0,None
468,479,0,452,27,1,0,479,94.36325678496868,FALSE,0,0,[],0,None
469,479,0,435,44,1,0,479,90.81419624217119,FALSE,0,0,[],0,None
470,478,0,387,91,1,0,478,80.9623431,FALSE,0,0,[],0,None
471,478,0,456,22,1,0,478,95.39748953974896,FALSE,0,0,[],0,None
472,478,0,449,29,1,0,478,93.93305439330544,FALSE,0,0,[],0,None
473,477,0,445,32,1,0,477,93.29140461215933,FALSE,0,0,[],0,None
474,478,0,449,29,1,0,478,93.93305439330544,FALSE,0,0,[],0,None
475,477,0,442,35,1,0,477,92.66247379454927,FALSE,0,0,[],0,None
476,476,0,425,51,1,0,476,89.28571428571429,FALSE,0,0,[],0,None
477,475,0,452,23,1,0,475,95.15789473684211,FALSE,0,0,[],0,None
478,475,0,450,25,1,0,475,94.73684210526316,FALSE,0,0,[],0,None
479,475,0,440,35,1,0,475,92.63157894736842,FALSE,0,0,[],0,None
480,475,0,452,23,1,0,475,95.15789473684211,FALSE,0,0,[],0,None
481,475,0,452,23,1,0,475,95.15789473684211,FALSE,0,0,[],0,None
482,475,0,450,25,1,0,475,94.73684210526316,FALSE,0,0,[],0,None
483,474,0,456,18,1,0,474,96.20253164556962,FALSE,0,0,[],0,None
484,475,0,455,20,1,0,475,95.78947368421052,FALSE,0,0,[],0,None
485,475,0,442,33,1,0,475,93.05263157894737,FALSE,0,0,[],0,None
486,475,0,446,29,1,0,475,93.89473684210526,FALSE,0,0,[],0,None
